district,quarter,zone_type,zone_code,zone_name,business_type,monthly_sales,monthly_count,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,male_sales,female_sales,age_10s_sales,age_20s_sales,age_30s_sales,age_40s_sales,age_50s_sales,age_60plus_sales
종로구,20241,골목상권,3110028,이화달팽이길,일반교습학원,51240516,149,19233687,0,12625190,3945372,15436267,0,0,18888467,32352049,0,0,0,38270107,4093323,8877086
종로구,20241,골목상권,3110028,이화달팽이길,예술학원,47617284,264,0,17874074,7506173,7037037,15200000,0,0,25380247,22237037,0,0,0,11400000,0,36217284
종로구,20241,골목상권,3110028,이화달팽이길,스포츠 강습,28686771,52,4657153,14019972,5837612,614486,3557548,0,0,5271639,9395160,0,1746433,5837612,0,2425601,4657153
종로구,20241,골목상권,3110028,이화달팽이길,미용실,16775273,774,1612992,2800050,2192442,2687997,2506904,2941050,2033838,8574593,8200680,0,715363,2547193,3455956,4762317,5294444
종로구,20241,골목상권,3110028,이화달팽이길,슈퍼마켓,195653760,21314,24062892,31293892,31392485,29762321,27972744,30111342,21058084,128026480,55728850,520714,18332783,28057736,19585422,45665060,71593614
종로구,20241,골목상권,3110028,이화달팽이길,편의점,2639317815,392756,387508841,376642046,395808646,391685687,429869653,334085315,323717627,1837500161,768959873,35617048,444420917,746891108,674135587,428071366,277324008
종로구,20241,골목상권,3110028,이화달팽이길,일반의류,979359959,2098,37731631,129767923,284956389,57647990,124005961,253421167,91828898,730153194,232914887,0,203460584,610740689,25552670,112087662,11226476
종로구,20241,골목상권,3110028,이화달팽이길,전자상거래업,25606328,976,11835468,1112761,1395050,5802609,881797,2355260,2223383,3201415,4494527,0,1206144,3065260,1931827,1402891,89819
종로구,20241,골목상권,3110034,창신1동주민센터,한식음식점,114134427,1587,5560673,33306464,12735942,20296223,23305287,13116653,5813185,61897455,19547891,0,2384958,7611874,19243555,16531007,35673954
종로구,20241,골목상권,3110034,창신1동주민센터,일반의류,35222411,788,1721010,2905632,7898377,1619507,2089772,8088468,10899645,26452179,8770232,159448,3311366,2979735,6940411,4669638,17161813
종로구,20241,골목상권,3110034,창신1동주민센터,철물점,42000000,1810,3011257,1781310,10781779,6268202,13749242,1902997,4505213,11671262,1838235,0,0,3639208,1793830,2197002,5879457
강남구,20241,골목상권,3110453,신사1동주민센터,한식음식점,1270428373,26337,165283071,121079778,158923773,147530396,186925006,250515183,240171166,719902969,471312917,1374309,60582388,200391986,266960018,334919810,326987372
강남구,20241,골목상권,3110453,신사1동주민센터,분식전문점,57545964,1257,5882946,3720925,6918357,15827048,866635,23787195,542858,6134538,4363285,0,866517,950944,2104516,2583727,3992117
강남구,20241,골목상권,3110453,신사1동주민센터,호프-간이주점,140170214,3016,17655786,17003278,26627006,15825643,17967669,23665090,21425742,85325501,53539955,3761533,37583837,27693132,32983751,25397682,11445522
강남구,20241,골목상권,3110453,신사1동주민센터,커피-음료,37981282,5293,5561742,6336391,0,4495928,5435295,9868957,6282969,13897397,23384468,192172,6275072,17593208,4904977,6055596,2260840
강남구,20241,골목상권,3110453,신사1동주민센터,일반교습학원,105019832,363,16277635,25720095,8615298,28936648,12888750,8983664,3597742,48106155,56913677,0,0,0,66176523,38843309,0
강남구,20241,골목상권,3110453,신사1동주민센터,예술학원,13102741,155,3005219,3345202,5041732,1710588,0,0,0,8564454,4538287,0,0,0,7970978,5131763,0
강남구,20241,골목상권,3110453,신사1동주민센터,스포츠 강습,156962701,306,0,16817432,67269729,16817432,0,56058108,0,58606203,98356498,0,16817432,100904594,0,39240675,0
강남구,20241,골목상권,3110453,신사1동주민센터,한의원,44122984,1475,10688183,14628981,4333813,2630737,2373447,9467823,0,11599324,32523660,0,426064,3154761,2491471,28082446,9968242
강남구,20241,골목상권,3110453,신사1동주민센터,당구장,28206287,1632,3493522,4732836,5133956,5103511,5653230,2459505,1629727,27490625,715662,512378,1621900,1667283,7363635,13511101,3529990
강남구,20241,골목상권,3110453,신사1동주민센터,자동차수리,71487845,484,5413497,6999871,5526727,12273846,13632461,27641443,0,50695782,18474687,0,0,10255902,6920552,18624491,33296694
강남구,20241,골목상권,3110453,신사1동주민센터,미용실,184146761,4119,37107142,14217662,26748549,16314546,14823148,24344981,50590733,50211119,131762898,194074,8504034,22171936,23708841,30067225,97327909
강남구,20241,골목상권,3110453,신사1동주민센터,피부관리실,197183,5,0,0,0,197183,0,0,0,0,197183,0,0,0,0,0,197183
강남구,20241,골목상권,3110453,신사1동주민센터,세탁소,33101582,1747,5877760,4651480,4540890,3269201,3559529,11202722,0,13669203,18627331,0,3923663,5950114,7620246,9576925,5225586
강남구,20241,골목상권,3110453,신사1동주민센터,노래방,27102014,389,3706029,10455424,2425670,1753614,3338272,3321286,2101719,18913965,3995676,0,3223094,2950137,7177232,5479032,4080146
